"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 28 06:01:32 UTC 2025","Wed May 28 06:01:33 UTC 2025","226","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"passed","Wed May 28 06:01:27 UTC 2025","Wed May 28 06:01:27 UTC 2025","237","A - A - A - Unity API Automation","Login","","","","User Login",""
"passed","Wed May 28 06:01:30 UTC 2025","Wed May 28 06:01:30 UTC 2025","221","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 06:01:28 UTC 2025","Wed May 28 06:01:28 UTC 2025","224","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Wed May 28 06:01:27 UTC 2025","Wed May 28 06:01:28 UTC 2025","226","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"passed","Wed May 28 06:01:30 UTC 2025","Wed May 28 06:01:30 UTC 2025","227","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 06:01:32 UTC 2025","Wed May 28 06:01:32 UTC 2025","222","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"failed","Wed May 28 06:01:29 UTC 2025","Wed May 28 06:01:29 UTC 2025","430","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"passed","Wed May 28 06:01:30 UTC 2025","Wed May 28 06:01:30 UTC 2025","222","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"failed","Wed May 28 06:01:33 UTC 2025","Wed May 28 06:01:33 UTC 2025","223","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"passed","Wed May 28 06:01:31 UTC 2025","Wed May 28 06:01:31 UTC 2025","223","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"passed","Wed May 28 06:01:29 UTC 2025","Wed May 28 06:01:29 UTC 2025","221","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"failed","Wed May 28 06:01:32 UTC 2025","Wed May 28 06:01:32 UTC 2025","221","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"failed","Wed May 28 06:01:28 UTC 2025","Wed May 28 06:01:28 UTC 2025","430","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"failed","Wed May 28 06:01:33 UTC 2025","Wed May 28 06:01:33 UTC 2025","222","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"passed","Wed May 28 06:01:31 UTC 2025","Wed May 28 06:01:31 UTC 2025","220","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"passed","Wed May 28 06:01:29 UTC 2025","Wed May 28 06:01:30 UTC 2025","220","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"failed","Wed May 28 06:01:28 UTC 2025","Wed May 28 06:01:29 UTC 2025","430","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"failed","Wed May 28 06:01:31 UTC 2025","Wed May 28 06:01:31 UTC 2025","222","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 06:01:30 UTC 2025","Wed May 28 06:01:30 UTC 2025","225","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"passed","Wed May 28 06:01:27 UTC 2025","Wed May 28 06:01:27 UTC 2025","224","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
"failed","Wed May 28 06:01:33 UTC 2025","Wed May 28 06:01:34 UTC 2025","222","A - A - A - Unity API Automation","","","","","Log Out",""
"failed","Wed May 28 06:01:33 UTC 2025","Wed May 28 06:01:33 UTC 2025","223","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"failed","Wed May 28 06:01:31 UTC 2025","Wed May 28 06:01:32 UTC 2025","225","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"failed","Wed May 28 06:01:32 UTC 2025","Wed May 28 06:01:32 UTC 2025","225","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"passed","Wed May 28 06:01:30 UTC 2025","Wed May 28 06:01:31 UTC 2025","220","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"failed","Wed May 28 06:01:32 UTC 2025","Wed May 28 06:01:32 UTC 2025","222","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
